,Kruskal_time,Prim_time,Num_of_nodes,Completeness
138,0.12217,0.16764,200.0,9.0
139,0.12145,0.16813,200.0,10.0
140,0.11991,0.16675,200.0,1.0
141,0.12381,0.16732,200.0,2.0
142,0.11983,0.16719,200.0,3.0
143,0.12001,0.16683,200.0,4.0
144,0.12133,0.16701,200.0,5.0
145,0.12245,0.16674,200.0,6.0
146,0.12245,0.1668,200.0,7.0
147,0.12069,0.16715,200.0,8.0
148,0.12026,0.16679,200.0,9.0
149,0.12032,0.16683,200.0,10.0
150,0.07935,0.14468,190.0,1.0
151,0.07799,0.14456,190.0,2.0
152,0.0803,0.1446,190.0,3.0
153,0.07907,0.14452,190.0,4.0
154,0.08956,0.14452,190.0,5.0
155,0.08032,0.1445,190.0,6.0
156,0.07803,0.14483,190.0,7.0
157,0.07772,0.14455,190.0,8.0
158,0.07891,0.14468,190.0,9.0
159,0.07868,0.14446,190.0,10.0
160,0.07791,0.14524,190.0,1.0
161,0.07919,0.14525,190.0,2.0
162,0.07922,0.14493,190.0,3.0
163,0.07989,0.14479,190.0,4.0
164,0.07798,0.14492,190.0,5.0
165,0.0794,0.14451,190.0,6.0
166,0.07912,0.14442,190.0,7.0
167,0.07893,0.14461,190.0,8.0
168,0.07821,0.14466,190.0,9.0
169,0.07925,0.14444,190.0,10.0
170,0.07884,0.1449,190.0,1.0
171,0.08026,0.14468,190.0,2.0
172,0.07857,0.14472,190.0,3.0
173,0.08074,0.14453,190.0,4.0
174,0.07916,0.14445,190.0,5.0
175,0.08064,0.14657,190.0,6.0
176,0.07702,0.14397,190.0,7.0
177,0.07948,0.14515,190.0,8.0
178,0.08084,0.14605,190.0,9.0
179,0.08191,0.14578,190.0,10.0
180,0.07999,0.14851,190.0,1.0
181,0.08034,0.14615,190.0,2.0
182,0.07935,0.14458,190.0,3.0
183,0.07928,0.14489,190.0,4.0
184,0.07917,0.14442,190.0,5.0
185,0.07821,0.14487,190.0,6.0
186,0.07718,0.14419,190.0,7.0
187,0.07774,0.14336,190.0,8.0
188,0.07666,0.14348,190.0,9.0
189,0.07699,0.14321,190.0,10.0
190,0.07773,0.14336,190.0,1.0
191,0.07812,0.14345,190.0,2.0
192,0.0786,0.14364,190.0,3.0
193,0.07761,0.14339,190.0,4.0
194,0.07847,0.14343,190.0,5.0
195,0.07885,0.14335,190.0,6.0
196,0.07788,0.14362,190.0,7.0
197,0.07939,0.14345,190.0,8.0
198,0.07788,0.14331,190.0,9.0
199,0.07865,0.14345,190.0,10.0
200,0.07861,0.14356,190.0,1.0
201,0.07701,0.14341,190.0,2.0
202,0.07841,0.14335,190.0,3.0
203,0.07867,0.14339,190.0,4.0
204,0.07795,0.14326,190.0,5.0
205,0.07768,0.14326,190.0,6.0
206,0.07784,0.14414,190.0,7.0
207,0.07942,0.14487,190.0,8.0
208,0.07859,0.14493,190.0,9.0
209,0.07824,0.14947,190.0,10.0
210,0.08043,0.14561,190.0,1.0
211,0.08184,0.146,190.0,2.0
212,0.08067,0.15341,190.0,3.0
213,0.09619,0.15511,190.0,4.0
214,0.07944,0.14578,190.0,5.0
215,0.08081,0.14377,190.0,6.0
216,0.07721,0.14546,190.0,7.0
217,0.08016,0.14622,190.0,8.0
